arquivo,real_kWh,previsto_kWh,erro_absoluto,erro_relativo_%
amostra_1985_393.16.npy,393.16,443.292,50.131992187499975,12.751040845330138
amostra_2275_441.38.npy,441.38,490.0121,48.632084960937505,11.018189533041257
amostra_4451_389.13.npy,389.13,436.66672,47.53671752929688,12.216153349599589
amostra_2801_383.77.npy,383.77,430.9428,47.17281005859377,12.291948317636546
amostra_4622_429.36.npy,429.36,476.44064,47.08064331054686,10.965307273743912
amostra_1333_414.48.npy,414.48,459.20554,44.72553588867186,10.79075851396252
amostra_2560_405.65.npy,405.65,449.86844,44.21843872070315,10.900638166079908
amostra_3895_392.56.npy,392.56,436.3816,43.821591796875,11.163030313041318
amostra_3923_446.66.npy,446.66,490.24606,43.58606323242185,9.758219503072102
amostra_5528_343.54.npy,343.54,386.43777,42.897774658203105,12.486981038075072
