real,previsto,erro_abs,erro_perc
314.25,310.09,4.1600037,1.3237879
269.97,233.23846,36.731537,13.605783
338.81,332.294,6.515991,1.9231992
422.26,419.41125,2.848755,0.6746447
278.24,295.31,17.070007,6.1349945
425.2,402.90335,22.296661,5.2438054
385.45,363.058,22.391998,5.809313
408.85,358.84207,50.007935,12.231365
304.39,321.05,16.659973,5.4732327
230.87,233.23846,2.3684692,1.0258887
345.36,309.56332,35.79666,10.365028
387.64,379.605,8.035004,2.0728004
260.62,275.003,14.382996,5.518761
374.0,357.8225,16.17749,4.325532
390.1,391.35352,1.2535095,0.32133028
267.33,290.25143,22.921448,8.574215
398.88,399.75,0.8699951,0.21810949
358.63,380.93,22.299988,6.2181044
347.1,336.56,10.540009,3.0365913
313.14,299.87155,13.268463,4.2372303
345.17,350.09207,4.922058,1.4259808
330.32,358.38644,28.066437,8.496741
308.31,303.73343,4.5765686,1.4844049
473.72,442.48154,31.238464,6.5942883
418.06,419.321,1.2610168,0.30163538
373.0,373.07,0.070007324,0.01876872
352.25,334.70728,17.542725,4.9801917
327.54,322.74948,4.7905273,1.4625777
349.63,373.57462,23.94461,6.8485575
261.25,268.38,7.130005,2.7291884
355.89,321.34,34.55002,9.70806
375.56,350.58,24.980011,6.651404
372.6,377.02,4.419983,1.1862541
406.56,375.0014,31.558594,7.762346
264.47,307.2257,42.755707,16.166561
388.56,431.71445,43.15445,11.106251
308.42,322.84845,14.428436,4.678178
271.45,289.062,17.612,6.488119
415.38,420.27,4.889984,1.1772316
356.2,332.294,23.906006,6.7113996
439.29,456.44666,17.156647,3.90554
302.93,301.24857,1.681427,0.55505466
373.9,363.73,10.169983,2.719974
275.16,265.6718,9.48819,3.4482446
322.51,349.55832,27.04831,8.386812
291.24,299.87155,8.631561,2.9637282
461.06,434.88998,26.170013,5.676054
406.71,370.24335,36.466644,8.966252
408.77,433.17,24.400024,5.969133
365.8,415.63,49.830017,13.622204
323.93,305.408,18.522003,5.717903
362.85,384.90857,22.058563,6.0792513
264.24,262.42316,1.8168335,0.6875695
367.89,357.8225,10.067505,2.736553
304.79,341.59,36.799988,12.073883
334.51,314.515,19.994995,5.977398
365.88,356.46112,9.418884,2.5743098
425.94,432.9943,7.054291,1.65617
363.36,375.0014,11.641418,3.2038252
357.66,371.98,14.320007,4.0038047
336.9,350.09207,13.192078,3.9157252
421.57,412.21402,9.355988,2.21932
302.27,297.018,5.2519836,1.7375141
326.31,311.33572,14.974274,4.5889716
401.39,358.38644,43.00357,10.713662
289.33,307.2257,17.895721,6.185229
313.48,295.77567,17.704346,5.6476793
248.57,228.59,19.980011,8.037981
372.34,350.09207,22.247925,5.975164
423.13,408.77362,14.356384,3.3929017
383.41,402.90335,19.493347,5.0842037
322.85,314.07867,8.771332,2.716844
256.88,283.60168,26.72168,10.402398
264.02,295.77567,31.755676,12.027755
468.46,449.89334,18.56665,3.9633374
384.23,411.02332,26.793304,6.9732466
318.32,328.06,9.73999,3.0598109
275.55,272.71,2.8399963,1.0306646
398.33,383.5625,14.767487,3.70735
233.56,275.003,41.442993,17.744047
383.69,391.14465,7.454651,1.9428838
344.48,331.1053,13.374725,3.882584
322.67,344.856,22.185974,6.8757477
396.94,372.64334,24.296661,6.1209908
299.72,316.0307,16.3107,5.441979
323.59,294.55,29.040009,8.974322
367.98,409.28168,41.301666,11.223888
344.15,358.84207,14.692078,4.2690916
370.8,428.58,57.78,15.582524
303.7,300.28333,3.416687,1.1250204
322.28,323.37,1.0899963,0.33821407
375.68,375.57,0.10998535,0.029276341
344.44,295.77567,48.664337,14.128537
273.21,287.62143,14.411438,5.2748575
269.12,289.9226,20.802612,7.729865
281.06,322.15,41.089996,14.619653
300.29,298.04,2.25,0.7492757
383.13,378.74,4.3900146,1.145829
372.42,356.01443,16.405579,4.405128
413.73,404.494,9.236023,2.2323792
298.69,294.55,4.1400146,1.3860573
313.41,339.545,26.13501,8.33892
376.4,369.705,6.6950073,1.7786947
352.76,314.395,38.36502,10.875672
395.66,379.6546,16.005402,4.0452414
351.44,377.10962,25.669617,7.3041244
365.5,373.57462,8.0746155,2.2091973
370.51,327.17,43.339996,11.697389
301.0,306.11304,5.113037,1.6986834
347.54,375.0014,27.461395,7.90165
357.83,342.08,15.75,4.401531
285.19,265.6718,19.518188,6.8439245
253.22,233.23846,19.981537,7.8909793
341.45,379.93,38.47998,11.26958
344.82,335.38736,9.432648,2.735528
307.43,320.20248,12.772491,4.1546016
362.44,375.57,13.130005,3.6226697
353.4,358.84207,5.4420776,1.5399201
262.63,279.67868,17.048676,6.491519
311.03,314.515,3.4850159,1.1204758
357.33,340.34,16.98999,4.754706
248.84,233.23846,15.601532,6.2697043
335.05,321.50665,13.543335,4.0421834
324.47,311.33572,13.134277,4.0479174
281.86,289.9226,8.062622,2.860506
327.38,350.09207,22.712067,6.937524
329.28,294.32,34.95999,10.617102
337.73,340.646,2.915985,0.8634072
280.19,302.45,22.26001,7.944612
310.85,342.292,31.441986,10.114841
274.11,303.73343,29.623444,10.8071375
397.98,411.02332,13.043304,3.2773767
361.39,349.20502,12.184998,3.371703
349.66,323.88998,25.77002,7.370022
328.58,335.38736,6.807373,2.0717552
242.98,274.21,31.229996,12.852909
268.97,294.26,25.290009,9.402539
342.61,328.06,14.549988,4.246808
368.14,375.0014,6.861389,1.8637989
260.16,273.882,13.721985,5.274441
321.69,332.294,10.604004,3.2963424
368.5,391.14465,22.644653,6.145089
318.03,315.962,2.0679932,0.650251
389.78,385.11038,4.6696167,1.1980134
357.63,358.38644,0.7564392,0.21151446
372.75,336.16,36.589996,9.81623
356.88,375.0014,18.121399,5.077729
287.59,307.255,19.665009,6.837863
529.13,527.58496,1.545044,0.29199705
269.51,262.46826,7.041748,2.6127963
323.82,336.75,12.929993,3.9929569
261.68,264.33145,2.6514587,1.0132446
252.35,262.66666,10.31665,4.0882306
342.25,352.1776,9.927612,2.9006903
305.88,303.73343,2.146576,0.7017706
366.92,356.01443,10.905579,2.9721951
463.03,383.5625,79.4675,17.162495
309.41,315.962,6.552002,2.1175792
310.57,301.24857,9.321442,3.0013978
268.61,239.35025,29.259735,10.893019
336.59,325.475,11.11499,3.3022344
286.5,292.324,5.824005,2.0328116
251.32,257.47778,6.157776,2.4501734
308.91,306.305,2.605011,0.8432913
285.61,297.018,11.40802,3.994265
323.51,322.51498,0.99502563,0.30757183
442.17,410.21124,31.95877,7.227711
389.38,364.82333,24.556671,6.306608
397.82,368.4139,29.406097,7.3918095
394.54,399.275,4.7349854,1.2001281
283.25,279.79498,3.455017,1.2197765
450.73,442.48154,8.248474,1.8300256
278.58,262.46826,16.111725,5.7835183
306.67,294.716,11.95401,3.898004
302.67,277.73834,24.931671,8.237245
349.97,314.515,35.454987,10.130864
293.82,322.84845,29.028442,9.879668
354.23,358.67,4.4400024,1.2534236
462.95,492.94333,29.993317,6.4787374
248.45,283.81442,35.364426,14.234021
269.29,277.8875,8.597504,3.192656
396.57,410.555,13.984985,3.5264857
360.73,379.6546,18.924591,5.2461925
