real,previsto,erro_abs,erro_rel_percent
32.64,32.58,0.05999756,0.18381606
36.41,36.504997,0.094997406,0.2609102
28.3,29.576668,1.2766685,4.5111966
35.88,30.76,5.120001,14.26979
31.94,30.595789,1.3442116,4.208552
29.36,30.179998,0.8199978,2.792908
30.95,33.42,2.4699974,7.980605
28.39,26.305,2.084999,7.344132
33.98,34.26,0.27999878,0.82401055
29.38,30.595789,1.2157898,4.1381545
29.09,29.208181,0.11818123,0.40626064
29.73,29.208181,0.52181816,1.7551906
33.2,34.595,1.3950005,4.2018085
38.95,36.14,2.8100014,7.2143807
31.26,31.885555,0.62555504,2.0011358
32.92,33.335335,0.4153366,1.2616544
25.59,26.193335,0.6033344,2.357696
23.38,22.8,0.5799999,2.4807525
25.87,25.62,0.25,0.9663703
27.61,29.07,1.4599991,5.2879357
33.05,36.18,3.130001,9.470503
26.45,26.54,0.09000015,0.3402652
28.19,29.54,1.3500004,4.7889333
34.29,36.665,2.375,6.9262176
29.79,30.466667,0.67666626,2.2714543
29.8,31.885555,2.085556,6.998511
33.23,31.71,1.5200005,4.5741816
34.91,36.18,1.2700005,3.6379273
25.98,26.832857,0.8528576,3.2827468
23.49,24.56,1.0699997,4.5551286
23.96,23.9175,0.042499542,0.17737706
25.38,25.36,0.01999855,0.0787965
34.78,34.19,0.59000015,1.6963778
25.74,25.94,0.20000076,0.7770037
32.4,31.76,0.6400013,1.9753126
33.42,34.87,1.4500008,4.3387218
33.69,35.804996,2.1149979,6.277821
31.3,33.914997,2.6149979,8.354626
30.19,30.595789,0.40578842,1.3441153
33.17,31.304,1.8659973,5.6255574
25.78,25.95,0.17000008,0.6594262
26.69,27.38,0.6899986,2.5852327
28.8,31.512,2.712,9.416667
30.0,28.09,1.9099998,6.3666663
36.44,34.48,1.9599991,5.378702
38.6,38.09,0.5099983,1.3212392
31.48,31.885555,0.40555573,1.2882965
32.88,30.595789,2.284212,6.9471164
29.75,29.38,0.37000084,1.2437003
30.63,30.55,0.07999992,0.26118162
27.08,26.96,0.12000084,0.44313455
37.18,36.47,0.7099991,1.9096262
25.7,26.035,0.33499908,1.3034984
30.3,30.27,0.02999878,0.09900588
32.12,33.335335,1.2153358,3.7837358
30.94,29.606667,1.333334,4.309418
31.9,32.35,0.44999886,1.4106548
27.22,27.13,0.09000015,0.33063978
24.62,24.04,0.5799999,2.3558078
30.82,31.512,0.69199944,2.2452934
35.05,34.595,0.45499802,1.2981399
27.66,25.14,2.5200005,9.110631
23.47,22.84,0.62999916,2.6842742
30.89,31.512,0.62199974,2.0135958
