real,previsto,erro_abs,erro_rel_percent
33.19,35.286,2.0960007,6.3151574
41.44,37.963158,3.476841,8.39006
23.97,25.312391,1.342392,5.6003003
35.69,31.388332,4.3016663,12.052861
36.63,34.602,2.0279999,5.5364447
34.31,33.97,0.34000015,0.9909651
29.18,31.932,2.751999,9.431113
26.49,29.765,3.2749996,12.363154
33.36,33.61,0.25,0.74940044
38.13,37.201904,0.9280968,2.434033
36.72,37.735,1.0149994,2.7641594
44.15,41.1192,3.0307999,6.8647785
29.01,28.941765,0.0682354,0.23521337
33.75,32.745,1.0050011,2.977781
31.14,29.851429,1.2885704,4.137991
49.2,47.8125,1.3875008,2.8201234
33.5,29.51125,3.9887505,11.906717
37.41,35.770832,1.6391678,4.3816304
36.54,37.963158,1.4231567,3.8947914
31.02,33.943,2.9230003,9.422955
27.36,22.05869,5.3013115,19.376139
35.66,34.72091,0.9390907,2.633457
31.51,34.909412,3.3994122,10.78836
45.68,43.86667,1.8133316,3.96964
37.51,40.65786,3.1478615,8.392059
28.51,31.21125,2.70125,9.474746
29.53,27.5975,1.9325008,6.544195
37.09,34.72091,2.369091,6.3874116
39.91,40.643333,0.7333336,1.8374684
25.67,25.3,0.37000084,1.4413745
34.76,36.176,1.4160004,4.0736494
37.62,37.08079,0.53920746,1.4333
36.86,35.57,1.2900009,3.499731
35.47,34.7875,0.68250275,1.9241688
39.32,39.50375,0.18375015,0.46731985
41.89,42.793846,0.90384674,2.1576672
38.84,37.0,1.8400002,4.737385
34.87,37.05625,2.1862526,6.269724
31.2,34.335003,3.1350021,10.048083
28.46,29.396774,0.9367752,3.2915502
41.93,40.823334,1.1066666,2.6393192
31.14,31.21125,0.071250916,0.22880833
36.99,40.293636,3.3036346,8.931155
40.26,40.65786,0.39786148,0.9882302
39.56,38.7,0.8600006,2.1739147
40.09,39.50375,0.5862503,1.4623355
31.15,29.3325,1.8174992,5.8346686
30.0,31.556667,1.5566673,5.188891
40.24,40.136,0.10400009,0.25844952
32.28,36.7,4.420002,13.692695
41.84,37.963158,3.8768425,9.265876
30.52,31.21125,0.69124985,2.2649078
37.07,38.481,1.4109993,3.8063104
36.52,37.18,0.65999985,1.8072284
42.93,43.47167,0.54166794,1.2617469
30.35,30.360476,0.010475159,0.034514528
31.15,32.35,1.1999989,3.8523238
32.33,33.975,1.6449966,5.088143
42.81,39.58,3.2299995,7.544965
35.64,36.73743,1.0974312,3.0792122
39.33,40.730625,1.4006233,3.5612085
39.39,38.856003,0.5339966,1.3556653
34.19,38.07,3.880001,11.3483515
46.1,41.949474,4.150524,9.003306
33.16,33.340836,0.18083572,0.545343
33.26,32.516666,0.7433319,2.2349126
43.61,38.678574,4.931427,11.308019
22.0,23.234285,1.2342854,5.6103883
41.65,36.73743,4.912571,11.794888
39.63,41.1192,1.4892006,3.7577608
40.13,37.981052,2.1489487,5.3549676
29.57,31.07619,1.5061913,5.0936465
40.09,40.29,0.20000076,0.49887943
26.42,25.016666,1.4033337,5.311634
35.15,34.72091,0.4290924,1.2207465
27.36,28.285833,0.92583275,3.3838916
37.44,38.35,0.90999985,2.4305553
32.76,28.941765,3.8182335,11.6551695
38.44,37.94,0.5,1.3007284
42.74,43.47167,0.73166656,1.7119011
28.22,30.622856,2.4028568,8.51473
23.21,23.234285,0.02428627,0.10463711
37.38,37.079998,0.30000305,0.80257636
29.1,29.9075,0.80749893,2.7749104
41.41,38.761112,2.6488876,6.3967338
33.39,32.17093,1.2190704,3.6510046
35.8,34.909412,0.89058685,2.4876728
34.55,36.58,2.0300026,5.8755503
39.33,36.835003,2.494999,6.3437552
36.07,32.17093,3.8990707,10.809733
27.75,28.941765,1.1917648,4.294648
30.85,32.101665,1.2516651,4.0572615
45.64,41.665714,3.9742851,8.707899
33.92,36.436665,2.5166664,7.419418
31.34,33.23,1.8899994,6.03063
34.03,32.516666,1.5133324,4.447054
38.29,34.72091,3.5690918,9.321211
33.09,35.286,2.1959991,6.6364436
39.45,39.245712,0.20428848,0.5178415
31.57,29.51125,2.0587502,6.5212235
39.2,36.436665,2.7633362,7.0493264
26.81,27.925833,1.1158333,4.162004
27.56,27.925833,0.36583328,1.3274068
34.04,35.992,1.9519997,5.734429
33.39,34.96,1.5699997,4.702006
33.52,35.4375,1.9174995,5.7204638
34.21,34.602,0.3920021,1.14587
29.33,27.262,2.0680008,7.050804
34.83,33.44,1.3900032,3.9908216
32.83,32.1,0.73000336,2.223586
33.26,33.943,0.6830025,2.0535252
34.47,33.79561,0.6743927,1.9564626
33.17,33.79561,0.62561035,1.886073
27.61,27.86,0.25,0.90546894
30.41,31.395,0.9850006,3.239068
28.0,27.471052,0.52894783,1.8890994
36.51,36.57,0.060001373,0.16434231
25.02,27.262,2.2419987,8.960826
25.07,24.390516,0.6794834,2.7103446
37.23,36.58,0.6499977,1.7458978
31.54,31.066364,0.47363663,1.5017014
42.56,41.949474,0.61052704,1.434509
32.05,30.75,1.2999992,4.05616
30.22,32.205,1.9850025,6.5685062
28.36,29.438112,1.0781116,3.801522
36.8,34.598335,2.201664,5.982783
32.86,36.09,3.2299995,9.829578
26.28,26.39375,0.11374855,0.43283314
28.88,28.954,0.07400131,0.25623724
37.64,33.27,4.369999,11.609986
30.88,29.3325,1.5474987,5.01133
36.7,37.963158,1.2631569,3.4418442
34.55,34.909412,0.35941315,1.0402696
27.48,29.396774,1.9167747,6.975163
34.0,32.1,1.9000015,5.5882397
30.6,29.438112,1.1618881,3.79702
39.25,40.823334,1.5733337,4.0084934
34.82,33.79561,1.0243912,2.941962
31.33,31.724998,0.39499855,1.2607678
29.39,29.205,0.18499947,0.629464
37.96,41.3475,3.3875008,8.923869
27.47,28.04857,0.5785713,2.1061935
46.73,41.949474,4.780525,10.230099
29.85,29.985556,0.13555527,0.4541215
35.05,34.72091,0.32909012,0.9389162
22.74,27.07,4.33,19.041338
28.89,29.528126,0.6381264,2.2088141
35.74,34.705,1.0349998,2.8959143
41.64,41.52,0.11999893,0.28818187
27.47,29.396774,1.926775,7.0141063
35.1,35.66594,0.56594086,1.6123672
28.39,28.954,0.5640011,1.9866189
35.06,34.909412,0.15058899,0.42951792
33.54,32.17093,1.369072,4.0819077
28.07,33.115,5.045002,17.972933
29.99,29.446667,0.54333305,1.811714
35.9,37.59,1.6899986,4.7075167
38.6,41.1192,2.5192032,6.5264335
40.71,40.65786,0.052139282,0.12807487
40.68,39.131176,1.5488243,3.807336
51.29,47.771667,3.5183334,6.859687
29.49,29.438112,0.051887512,0.17594951
41.95,42.0,0.049999237,0.1191877
28.23,29.438112,1.2081127,4.279535
25.82,29.765,3.9449997,15.278852
26.34,27.97325,1.6332493,6.2006426
33.57,34.145554,0.5755539,1.7144889
34.98,35.286,0.30599976,0.8747849
34.08,34.72091,0.6409073,1.8805964
32.92,33.323334,0.40333557,1.2251992
35.47,31.39,4.080002,11.502684
37.85,40.623528,2.773529,7.3276863
29.81,30.571817,0.76181793,2.5555785
28.45,28.873335,0.42333412,1.4879934
40.54,41.16,0.61999893,1.5293511
31.76,31.764444,0.0044441223,0.013992827
34.95,34.17,0.7800026,2.231767
40.42,42.41,1.9900017,4.92331
39.6,40.14,0.5400009,1.3636386
27.87,27.97325,0.103248596,0.37046498
32.71,33.942142,1.2321434,3.766871
37.41,36.97,0.43999863,1.1761525
35.53,36.58,1.050003,2.9552577
33.85,34.72091,0.87091064,2.5728528
21.95,25.312391,3.3623905,15.318407
31.55,30.5325,1.0174999,3.2250392
31.21,32.115555,0.9055557,2.9014924
28.51,28.285833,0.22416687,0.7862745
26.8,25.312391,1.487608,5.550776
35.52,37.94,2.4199982,6.8130574
37.21,34.909412,2.3005867,6.1827106
27.95,26.855,1.0950012,3.9177146
31.93,32.205,0.27500153,0.86126375
22.98,24.390516,1.4105167,6.138019
32.87,32.891666,0.02166748,0.065918714
