amostra,valor_real,valor_predito
amostra_0008_314.25.csv,314.25,319.41528
amostra_0013_269.97.csv,269.97,246.0361
amostra_0016_338.81.csv,338.81,330.20636
amostra_0019_422.26.csv,422.26,407.90198
amostra_0036_278.24.csv,278.24,295.67496
amostra_0043_425.20.csv,425.2,399.26913
amostra_0045_385.45.csv,385.45,328.04816
amostra_0048_408.85.csv,408.85,455.38263
amostra_0052_304.39.csv,304.39,299.9914
amostra_0061_230.87.csv,230.87,241.71968
amostra_0064_345.36.csv,345.36,351.78848
amostra_0078_387.64.csv,387.64,369.05417
amostra_0086_260.62.csv,260.62,271.93463
amostra_0089_374.00.csv,374.0,382.00342
amostra_0102_390.10.csv,390.1,425.16766
amostra_0107_267.33.csv,267.33,282.7257
amostra_0111_398.88.csv,398.88,420.85123
amostra_0112_358.63.csv,358.63,369.05417
amostra_0117_347.10.csv,347.1,302.1496
amostra_0120_313.14.csv,313.14,332.36456
amostra_0123_345.17.csv,345.17,319.41528
amostra_0128_330.32.csv,330.32,362.57953
amostra_0130_308.31.csv,308.31,334.52277
amostra_0133_473.72.csv,473.72,427.32587
amostra_0137_418.06.csv,418.06,405.74374
amostra_0145_373.00.csv,373.0,373.37057
amostra_0147_352.25.csv,352.25,328.04816
amostra_0148_327.54.csv,327.54,319.41528
amostra_0167_349.63.csv,349.63,340.9974
amostra_0173_261.25.csv,261.25,263.3018
amostra_0183_355.89.csv,355.89,340.9974
amostra_0190_375.56.csv,375.56,353.9467
amostra_0193_372.60.csv,372.6,431.6423
amostra_0196_406.56.csv,406.56,403.58554
amostra_0203_264.47.csv,264.47,293.51675
amostra_0214_388.56.csv,388.56,362.57953
amostra_0215_308.42.csv,308.42,343.1556
amostra_0221_271.45.csv,271.45,287.0421
amostra_0239_415.38.csv,415.38,401.42734
amostra_0240_356.20.csv,356.2,353.9467
amostra_0241_439.29.csv,439.29,468.33188
amostra_0242_302.93.csv,302.93,312.94067
amostra_0247_373.90.csv,373.9,442.43335
amostra_0255_275.16.csv,275.16,265.46002
amostra_0265_322.51.csv,322.51,317.25708
amostra_0268_291.24.csv,291.24,271.93463
amostra_0277_461.06.csv,461.06,457.54083
amostra_0279_406.71.csv,406.71,382.00342
amostra_0283_408.77.csv,408.77,470.4901
amostra_0303_365.80.csv,365.8,317.25708
amostra_0304_323.93.csv,323.93,308.62424
amostra_0306_362.85.csv,362.85,336.681
amostra_0310_264.24.csv,264.24,254.66896
amostra_0314_367.89.csv,367.89,394.9527
amostra_0316_304.79.csv,304.79,278.40927
amostra_0317_334.51.csv,334.51,299.9914
amostra_0318_365.88.csv,365.88,377.687
amostra_0327_425.94.csv,425.94,427.32587
amostra_0337_363.36.csv,363.36,371.21237
amostra_0342_357.66.csv,357.66,360.42133
amostra_0344_336.90.csv,336.9,403.58554
amostra_0352_421.57.csv,421.57,405.74374
amostra_0360_302.27.csv,302.27,317.25708
amostra_0363_326.31.csv,326.31,319.41528
amostra_0364_401.39.csv,401.39,410.06018
amostra_0371_289.33.csv,289.33,336.681
amostra_0378_313.48.csv,313.48,306.46603
amostra_0379_248.57.csv,248.57,325.88992
amostra_0381_372.34.csv,372.34,336.681
amostra_0382_423.13.csv,423.13,466.17368
amostra_0386_383.41.csv,383.41,379.8452
amostra_0387_322.85.csv,322.85,317.25708
amostra_0388_256.88.csv,256.88,258.98538
amostra_0392_264.02.csv,264.02,241.71968
amostra_0395_468.46.csv,468.46,472.64832
amostra_0410_384.23.csv,384.23,405.74374
amostra_0414_318.32.csv,318.32,364.73773
amostra_0421_275.55.csv,275.55,274.09286
amostra_0435_398.33.csv,398.33,414.3766
amostra_0439_233.56.csv,233.56,235.24506
amostra_0442_383.69.csv,383.69,399.26913
amostra_0444_344.48.csv,344.48,362.57953
amostra_0446_322.67.csv,322.67,321.57352
amostra_0448_396.94.csv,396.94,386.31985
amostra_0460_299.72.csv,299.72,276.25107
amostra_0466_323.59.csv,323.59,360.42133
amostra_0474_367.98.csv,367.98,336.681
amostra_0475_344.15.csv,344.15,345.31384
amostra_0480_370.80.csv,370.8,353.9467
amostra_0486_303.70.csv,303.7,289.20035
amostra_0488_322.28.csv,322.28,330.20636
amostra_0493_375.68.csv,375.68,420.85123
amostra_0494_344.44.csv,344.44,358.2631
amostra_0497_273.21.csv,273.21,254.66896
amostra_0498_269.12.csv,269.12,263.3018
amostra_0503_281.06.csv,281.06,295.67496
amostra_0508_300.29.csv,300.29,291.35855
amostra_0514_383.13.csv,383.13,392.7945
amostra_0521_372.42.csv,372.42,407.90198
amostra_0526_413.73.csv,413.73,457.54083
amostra_0537_298.69.csv,298.69,308.62424
amostra_0545_313.41.csv,313.41,282.7257
amostra_0561_376.40.csv,376.4,401.42734
amostra_0563_352.76.csv,352.76,366.89594
amostra_0565_395.66.csv,395.66,371.21237
amostra_0569_351.44.csv,351.44,336.681
amostra_0580_365.50.csv,365.5,386.31985
amostra_0582_370.51.csv,370.51,379.8452
amostra_0583_301.00.csv,301.0,297.8332
amostra_0584_347.54.csv,347.54,323.73172
amostra_0586_357.83.csv,357.83,356.1049
amostra_0588_285.19.csv,285.19,274.09286
amostra_0590_253.22.csv,253.22,230.92863
amostra_0593_341.45.csv,341.45,384.16165
amostra_0597_344.82.csv,344.82,386.31985
amostra_0598_307.43.csv,307.43,319.41528
amostra_0599_362.44.csv,362.44,379.8452
amostra_0613_353.40.csv,353.4,319.41528
amostra_0619_262.63.csv,262.63,243.8779
amostra_0622_311.03.csv,311.03,321.57352
amostra_0626_357.33.csv,357.33,330.20636
amostra_0632_248.84.csv,248.84,243.8779
amostra_0639_335.05.csv,335.05,360.42133
amostra_0643_324.47.csv,324.47,336.681
amostra_0646_281.86.csv,281.86,289.20035
amostra_0655_327.38.csv,327.38,328.04816
amostra_0657_329.28.csv,329.28,349.63025
amostra_0659_337.73.csv,337.73,373.37057
amostra_0663_280.19.csv,280.19,297.8332
amostra_0664_310.85.csv,310.85,297.8332
amostra_0667_274.11.csv,274.11,252.51074
amostra_0669_397.98.csv,397.98,369.05417
