arquivo,real_kWh,previsto_kWh,erro_absoluto,erro_relativo_%
amostra_1660_32.41.npy,32.41,35.460255,3.0502546691894565,9.41146149086534
amostra_2566_34.15.npy,34.15,37.093136,2.943135833740236,8.618260128082682
amostra_3878_34.98.npy,34.98,37.75137,2.7713694763183625,7.922725775638543
amostra_5691_36.27.npy,36.27,39.004177,2.7341770935058562,7.538398382977271
amostra_3532_43.71.npy,43.71,46.400356,2.6903562927246085,6.155013252630081
amostra_1195_35.14.npy,35.14,37.68658,2.546580657958984,7.246956909388115
amostra_0632_37.23.npy,37.23,39.674397,2.4443965148925813,6.565663483461137
amostra_3253_39.46.npy,39.46,41.804844,2.3448439025878898,5.942331228048378
amostra_2789_34.30.npy,34.3,36.627018,2.3270179748535185,6.7843089645875185
amostra_4186_31.98.npy,31.98,34.303116,2.323115844726562,7.264277188013015
