arquivo,real_kWh,previsto_kWh,erro_absoluto,erro_relativo_%
amostra_0000_1320.31.npy,1320.31,1388.0774,67.76739257812505,5.132687973136995
amostra_0001_2697.99.npy,2697.99,2679.5547,18.43531249999978,0.6832980292736365
amostra_0039_2188.03.npy,2188.03,2178.8179,9.2121289062502,0.42102388478449565
amostra_0047_1923.39.npy,1923.39,1953.8634,30.4734033203124,1.5843590390046947
amostra_0049_3074.19.npy,3074.19,3287.591,213.40106445312495,6.941700560249202
amostra_0054_3924.82.npy,3924.82,4090.7488,165.92877929687484,4.227678703657106
amostra_0059_3662.89.npy,3662.89,3744.747,81.85707031250013,2.2347673643625696
amostra_0062_2289.08.npy,2289.08,2351.7134,62.63337890625007,2.73618130018392
amostra_0067_3220.84.npy,3220.84,3243.9326,23.092617187499854,0.7169749875032555
amostra_0074_3913.99.npy,3913.99,3928.7834,14.793447265625218,0.377963338322919
amostra_0078_2401.62.npy,2401.62,2503.401,101.78087890625011,4.238009298150836
amostra_0079_1420.93.npy,1420.93,1464.6088,43.678764648437436,3.0739561166586276
amostra_0083_1614.30.npy,1614.3,1661.6646,47.364550781250045,2.934061251393796
amostra_0096_1504.46.npy,1504.46,1445.1495,59.310463867187536,3.942309125346472
amostra_0103_1385.25.npy,1385.25,1456.4691,71.2191162109375,5.141246432841545
amostra_0106_2137.17.npy,2137.17,2364.2737,227.10368164062493,10.626374207041318
amostra_0116_1876.60.npy,1876.6,1857.506,19.09401855468741,1.0174794071558888
amostra_0118_2465.89.npy,2465.89,2556.224,90.33412109375013,3.6633475578290247
amostra_0127_4243.04.npy,4243.04,4299.531,56.490761718750036,1.331374715269006
amostra_0129_2316.18.npy,2316.18,2378.5952,62.415214843750164,2.6947480266538077
amostra_0134_2692.92.npy,2692.92,2697.8982,4.978193359374927,0.18486228181211944
amostra_0135_2886.82.npy,2886.82,3024.079,137.25910156249984,4.75468167611766
amostra_0136_1656.48.npy,1656.48,1745.1395,88.65952636718748,5.352284746401254
amostra_0142_3594.16.npy,3594.16,3627.64,33.479892578125146,0.9315081292464762
amostra_0146_2729.48.npy,2729.48,2677.7585,51.72145507812502,1.8949197311621635
amostra_0148_2719.90.npy,2719.9,2878.3262,158.4261718749999,5.824705756645461
