arquivo,real_kWh,previsto_kWh
amostra_0002_1918.16.csv,1918.16,1863.9646
amostra_0015_1255.51.csv,1255.51,1290.0083
amostra_0019_3106.45.csv,3106.45,3011.222
amostra_0020_2590.32.csv,2590.32,2579.4016
amostra_0021_2135.00.csv,2135.0,2086.0479
amostra_0023_2886.84.csv,2886.84,2832.4128
amostra_0043_2055.23.csv,2055.23,2021.4832
amostra_0045_1647.38.csv,1647.38,1609.3651
amostra_0049_2345.11.csv,2345.11,2338.8523
amostra_0050_3708.96.csv,3708.96,3602.492
amostra_0051_1808.85.csv,1808.85,1765.3539
amostra_0054_2681.49.csv,2681.49,2644.0298
amostra_0056_2906.70.csv,2906.7,2828.1868
amostra_0081_1985.55.csv,1985.55,1847.9169
amostra_0082_2221.14.csv,2221.14,2186.0488
amostra_0083_3083.32.csv,3083.32,2988.8213
amostra_0084_1239.89.csv,1239.89,1309.9774
amostra_0093_2582.21.csv,2582.21,2579.8643
amostra_0094_2867.39.csv,2867.39,2827.7053
amostra_0096_2455.82.csv,2455.82,2394.8508
amostra_0097_2383.73.csv,2383.73,2350.045
amostra_0108_2613.05.csv,2613.05,2646.1309
amostra_0115_2573.64.csv,2573.64,2489.5889
amostra_0117_1409.12.csv,1409.12,1439.1106
amostra_0124_1871.79.csv,1871.79,1871.476
amostra_0127_1474.94.csv,1474.94,1446.125
amostra_0136_1725.53.csv,1725.53,1714.0466
amostra_0137_1834.42.csv,1834.42,1772.7546
amostra_0144_961.38.csv,961.38,950.1685
amostra_0155_2509.34.csv,2509.34,2502.3145
amostra_0156_1900.94.csv,1900.94,1863.4889
amostra_0158_2326.18.csv,2326.18,2298.6533
amostra_0167_2536.37.csv,2536.37,2540.0159
amostra_0177_2179.11.csv,2179.11,2171.2175
amostra_0178_2404.29.csv,2404.29,2360.7708
amostra_0179_3106.65.csv,3106.65,3041.138
amostra_0187_2260.89.csv,2260.89,2295.5603
amostra_0189_1455.94.csv,1455.94,1493.842
amostra_0193_2328.29.csv,2328.29,2310.5815
amostra_0198_2252.55.csv,2252.55,2192.8374
amostra_0204_1784.38.csv,1784.38,1753.8309
amostra_0207_1824.45.csv,1824.45,1824.7107
amostra_0208_2991.08.csv,2991.08,2999.5417
amostra_0215_3433.81.csv,3433.81,3395.3823
amostra_0217_3408.22.csv,3408.22,3348.127
amostra_0219_2098.05.csv,2098.05,2120.8328
amostra_0221_1373.59.csv,1373.59,1339.2717
amostra_0224_2690.85.csv,2690.85,2610.56
amostra_0229_2115.41.csv,2115.41,2163.684
amostra_0234_1852.40.csv,1852.4,1871.1547
amostra_0241_1820.40.csv,1820.4,1776.5446
amostra_0242_3674.97.csv,3674.97,3626.6262
amostra_0253_2876.45.csv,2876.45,2832.6997
amostra_0257_1827.70.csv,1827.7,1804.4125
