real,previsto,erro_abs,erro_rel_percent
1320.31,1320.8033,0.49328613,0.037361383
2697.99,3129.19,431.19995,15.982267
2188.03,1889.8517,298.17834,13.627708
1923.39,2010.4467,87.05664,4.5262084
3074.19,2778.2744,295.91553,9.625805
3924.82,3942.42,17.599854,0.44842446
3662.89,3751.7,88.81006,2.4245899
2289.08,2384.2913,95.21118,4.1593647
3220.84,3407.58,186.73999,5.797866
3913.99,3777.0283,136.96167,3.4992852
2401.62,2420.2817,18.661621,0.777043
1420.93,1430.14,9.209961,0.6481643
1614.3,1899.8467,285.54663,17.688572
1504.46,1470.7,33.76001,2.2439952
1385.25,1563.7454,178.49536,12.885426
2137.17,2406.195,269.02515,12.587915
1876.6,1872.69,3.9100342,0.20835738
2465.89,2351.6816,114.20825,4.6315227
4243.04,4147.8066,95.2334,2.2444615
2316.18,2493.48,177.30005,7.654848
2692.92,2414.7388,278.18115,10.330093
2886.82,3147.0186,260.1985,9.013326
1656.48,2009.325,352.84497,21.30089
3594.16,3993.8875,399.72754,11.121585
2729.48,2620.26,109.21997,4.001494
2719.9,2821.83,101.930176,3.747571
2823.1,2617.225,205.875,7.292515
4181.77,4668.582,486.812,11.641291
2212.22,2199.424,12.795898,0.5784189
1703.57,1899.8467,196.27673,11.521495
2269.94,2204.18,65.76001,2.8969934
2526.49,2820.0735,293.5835,11.620213
3277.9,2748.845,529.05493,16.140057
1457.07,1642.85,185.78003,12.750247
2738.06,2593.475,144.58496,5.280562
2168.87,2413.4956,244.62549,11.278937
2226.78,1591.17,635.61,28.543905
2344.96,1916.1649,428.79504,18.285816
1455.36,1359.7836,95.576416,6.567201
4519.44,4468.197,51.243164,1.1338389
2543.64,2526.7,16.939941,0.6659725
1978.5,2258.777,280.2771,14.166141
2517.3,1961.3512,555.94885,22.085125
3075.24,3000.6685,74.57153,2.4249012
1092.67,1470.7,378.0299,34.596897
1247.07,1347.385,100.31506,8.044061
2013.31,2182.9724,169.66235,8.427036
3187.93,2746.455,441.47485,13.848324
3776.43,3434.138,342.292,9.063904
3156.35,3089.2444,67.10571,2.126054
1931.43,1858.9357,72.494385,3.7534046
884.83,944.8444,60.014404,6.7825913
1258.74,1250.5656,8.174438,0.6494144
1871.71,1740.256,131.45398,7.0232024
2121.4,2265.5435,144.14355,6.7947373
3371.51,3475.1099,103.59985,3.0728028
2460.38,2414.7388,45.641113,1.8550433
2816.71,3034.278,217.56812,7.7241926
2056.98,2112.6375,55.65747,2.7057858
2880.72,2737.5962,143.12378,4.9683337
2835.49,2457.47,378.02002,13.331736
2266.95,2066.96,199.98999,8.821985
1558.09,1907.0575,348.96753,22.397137
2582.14,2412.8867,169.25317,6.554764
2782.66,2737.5962,45.06372,1.6194476
2162.63,2235.174,72.54419,3.3544433
1545.46,1981.31,435.8501,28.201967
1796.68,1858.94,62.259888,3.4652739
1639.51,1454.69,184.82007,11.272884
3446.61,3024.9333,421.67676,12.234536
3219.34,2609.7,609.64014,18.936804
2692.51,3170.42,477.9099,17.749605
885.79,944.8444,59.054443,6.6668673
1976.88,2194.9565,218.07654,11.031349
2623.75,2046.2875,577.4625,22.009052
3202.76,3144.616,58.144043,1.8154355
2634.66,2412.8867,221.7732,8.417526
1456.09,1563.7454,107.655396,7.393458
1674.43,1482.7548,191.6753,11.447196
2701.05,2360.84,340.20996,12.59547
2135.53,2119.9185,15.611572,0.7310397
3101.6,3441.6614,340.06128,10.96406
2626.65,2737.5962,110.94629,4.2238703
2575.47,2456.213,119.25708,4.630498
2250.15,2014.0891,236.06079,10.490892
2240.28,2284.79,44.51001,1.9868057
3957.91,3740.03,217.87988,5.5049224
2368.88,2618.0283,249.14844,10.517563
1925.58,1899.8467,25.733276,1.336391
2587.75,2832.285,244.53491,9.449712
2877.18,2934.84,57.660156,2.004051
2542.97,2737.5962,194.62622,7.653501
2876.45,3024.9333,148.4834,5.1620364
3006.65,2904.72,101.92993,3.3901498
2437.37,2252.55,184.82007,7.5827656
1978.13,2336.2048,358.07483,18.101683
