real,previsto,erro_abs,erro_rel_percent
3088.94,3046.8298,42.110107,1.3632543
2636.67,2418.87,217.7998,8.260412
3284.6,3555.53,270.92993,8.248491
3859.47,3393.02,466.44995,12.0858555
2605.02,2657.29,52.27002,2.0065112
3582.42,3940.57,358.15015,9.997437
3222.79,2891.34,331.44995,10.284565
2616.45,2608.09,8.359863,0.31951168
2605.2,2175.08,430.11987,16.510054
3860.06,4348.2,488.14014,12.645921
2512.76,2362.675,150.08496,5.9729123
3558.81,3305.98,252.83008,7.1043434
2000.39,2142.7283,142.33826,7.1155252
2804.51,2806.34,1.8300781,0.06525483
1239.89,1761.5,521.61,42.069054
2889.5,2976.0532,86.55322,2.9954395
2572.55,2362.65,209.90015,8.1592245
1988.47,1761.5,226.96997,11.414302
1720.04,1774.4751,54.43506,3.164755
2285.79,2773.5798,487.7898,21.340096
1510.78,1623.32,112.53992,7.4491262
2787.1,2730.64,56.460205,2.025769
2303.61,2142.7283,160.88184,6.9839
1836.38,1774.4751,61.904907,3.3710294
3328.77,3081.21,247.56006,7.436983
2437.73,2362.675,75.05493,3.078886
1573.0,1265.1678,307.83215,19.569748
1668.0,1872.615,204.61499,12.267086
3338.64,3568.15,229.51001,6.8743563
2742.26,2969.67,227.40991,8.292792
2775.18,2701.7349,73.44507,2.6464975
2825.71,2505.13,320.58008,11.345116
2532.8,2295.98,236.82007,9.350129
2210.76,2176.91,33.850098,1.531152
3103.35,3049.58,53.77002,1.7326442
2064.37,1824.6775,239.69263,11.610932
3545.18,3437.6868,107.493164,3.0320933
2566.53,2427.075,139.45508,5.4336042
2796.03,2872.89,76.85986,2.7488925
4751.05,4431.4424,319.60742,6.7270904
1784.73,1265.1678,519.56213,29.111525
3063.7,3284.3167,220.6167,7.2009892
3109.14,3353.66,244.52002,7.864555
3280.85,3368.32,87.46997,2.6660764
3639.65,3651.27,11.620117,0.31926468
2437.32,2880.225,442.90503,18.171804
1719.94,1873.3014,153.36145,8.916675
4203.32,4000.72,202.59985,4.8199964
3462.41,3537.44,75.03003,2.1669886
3272.68,2682.1733,590.5066,18.043518
3293.24,3179.57,113.66992,3.4516137
1527.91,2060.7734,532.8634,34.875313
3439.19,3570.73,131.54004,3.8247392
1909.2,2142.7283,233.52832,12.231737
3286.43,3170.09,116.33984,3.5400066
2042.91,2027.71,15.200073,0.74404025
2116.68,2027.73,88.94995,4.2023335
2636.0,2448.3167,187.68335,7.1200056
1457.07,1431.1499,25.920044,1.7789155
2771.94,2561.8635,210.07642,7.5786786
3618.54,3940.57,322.03003,8.8994465
2628.37,2937.41,309.0398,11.757849
4218.52,4236.03,17.509766,0.41506892
3735.97,3726.38,9.590088,0.25669608
2755.53,2880.225,124.69507,4.525266
2264.38,2389.959,125.5791,5.54585
2368.35,2495.99,127.63989,5.3894014
2457.5,2773.5798,316.07983,12.861845
2306.99,1674.03,632.95996,27.436615
2684.47,2356.63,327.8401,12.21247
3412.68,2688.93,723.75,21.207672
2649.59,3077.89,428.2998,16.164757
1657.08,1865.91,208.83008,12.602293
2086.48,2427.075,340.59497,16.323904
2575.26,2484.3567,90.90332,3.5298698
2049.7,1865.91,183.78992,8.966674
3205.28,3072.24,133.04004,4.1506524
3138.73,2822.61,316.11987,10.071586
2478.48,2557.75,79.27002,3.198332
2253.22,1872.615,380.60498,16.891603
3329.26,3651.27,322.01,9.672119
3448.7,3344.46,104.23999,3.022588
3645.28,3664.675,19.39502,0.5320584
2971.68,3053.7375,82.05762,2.7613208
1918.45,2044.612,126.16211,6.576252
3766.93,3940.57,173.64014,4.609593
2330.78,2393.74,62.95996,2.7012398
1841.59,1870.4825,28.892578,1.5688932
1640.45,2060.7734,420.3235,25.622452
2168.74,2142.7283,26.011719,1.1993932
2674.48,2610.39,64.09009,2.396357
2678.67,2450.221,228.44897,8.528448
2348.29,2148.28,200.01001,8.5172615
2497.38,3126.81,629.4302,25.20362
1127.35,1265.1678,137.81787,12.224941
3755.32,4077.35,322.03003,8.575301
1985.55,1872.615,112.93506,5.687847
3340.86,3634.04,293.17993,8.775582
2987.01,3049.58,62.57007,2.0947392
3081.49,3284.3167,202.82666,6.582097
2846.98,1973.94,873.04004,30.665478
3189.64,2971.84,217.7998,6.8283505
2738.02,2871.06,133.04004,4.858987
3067.4,3171.64,104.23999,3.3983176
2730.56,2142.7283,587.8318,21.527884
2188.21,2304.55,116.34009,5.3166785
3217.09,3344.46,127.36987,3.9591641
1756.79,1907.22,150.42993,8.562772
2172.12,2450.221,278.10083,12.803197
2792.31,2664.94,127.37012,4.5614605
2723.4,2806.0066,82.60669,3.0332193
2835.06,2378.285,456.77515,16.111656
1042.61,809.99,232.62,22.311316
3747.89,4112.89,365.00024,9.73882
2569.3,2448.3167,120.9834,4.7088075
2825.05,3110.97,285.91992,10.12088
2670.76,2730.64,59.879883,2.242054
3599.93,3285.31,314.61987,8.739611
1729.13,1963.0067,233.87671,13.525687
2609.55,2958.39,348.83984,13.367815
1372.93,1761.5,388.56995,28.30224
3283.81,3179.57,104.23999,3.1743612
2439.51,2327.34,112.16992,4.598051
4062.33,3543.53,518.80005,12.770997
2294.41,2044.612,249.79785,10.887238
3093.23,3665.0,571.77,18.484562
2180.66,2501.13,320.46997,14.69601
2114.88,2450.221,335.34106,15.856271
1518.9,1907.22,388.31995,25.565866
2280.07,2557.75,277.67993,12.17857
2415.8,2450.221,34.4209,1.424824
1727.92,2060.7734,332.8534,19.26324
3382.41,3940.57,558.16016,16.501848
2708.71,3110.97,402.26,14.850612
2603.37,2806.34,202.96997,7.7964315
2621.47,2708.94,87.46997,3.3366766
1432.83,1367.205,65.625,4.5800967
3784.44,3468.32,316.11987,8.353148
3130.36,2396.71,733.65015,23.436605
2511.09,2561.8635,50.773438,2.021968
2236.91,2568.36,331.4502,14.817325
3397.48,3368.32,29.159912,0.8582806
2753.96,2224.47,529.49,19.226496
1895.3,2051.43,156.12988,8.23774
2406.95,2494.42,87.46997,3.6340587
1560.36,1761.5,201.14001,12.890616
1444.9,1520.575,75.67493,5.2373815
2210.11,2297.58,87.46997,3.95772
1039.88,1265.1678,225.28784,21.664793
2900.75,2448.3167,452.43335,15.597116
3512.46,3285.31,227.1499,6.466975
3696.09,3520.21,175.88013,4.7585454
1125.52,1265.1678,139.64783,12.407405
4322.76,4089.45,233.30981,5.3972425
2034.61,2197.41,162.79993,8.00153
2678.93,2494.42,184.51001,6.8874516
1844.26,1907.22,62.95996,3.4138334
3087.92,2893.45,194.46997,6.2977657
3251.91,3081.21,170.69995,5.2492213
2524.13,2724.14,200.01001,7.9239187
4026.16,3877.57,148.58984,3.6906097
1635.24,1907.22,271.97998,16.63242
2314.89,2611.8052,296.91528,12.8263235
2581.93,2657.29,75.36011,2.918751
3421.85,3475.62,53.77002,1.5713727
3325.07,3404.34,79.27002,2.3840106
2509.3,2561.8635,52.563477,2.0947466
1469.59,1692.5299,222.93994,15.170214
3898.79,4077.35,178.56006,4.5798836
1519.93,1544.935,25.005005,1.6451418
2853.97,2933.24,79.27002,2.7775352
2584.69,2142.7283,441.96167,17.099213
2199.19,2142.7283,56.46167,2.567385
2391.01,2610.39,219.37988,9.175197
3558.55,2836.63,721.92017,20.286919
3236.71,3320.2551,83.545166,2.5811756
2276.64,2393.74,117.1001,5.1435494
3713.6,3285.31,428.29004,11.533014
1864.0,1265.1678,598.83215,32.12619
2834.8,2836.63,1.829834,0.06454896
2985.51,2644.875,340.635,11.409609
2690.85,2821.07,130.21997,4.8393617
1801.04,1674.03,127.01001,7.0520372
2406.69,2175.08,231.60986,9.623586
2189.99,1973.94,216.05005,9.865344
3190.43,3034.11,156.31982,4.899647
3168.26,3544.82,376.56006,11.885389
1351.73,1790.3682,438.63818,32.450134
2505.42,2561.8635,56.443604,2.25286
1625.54,1544.935,80.60498,4.9586587
3197.65,2682.1733,515.47656,16.120481
2739.97,2874.27,134.30005,4.9015155
2391.75,2448.89,57.139893,2.3890412
1972.16,2160.05,187.89001,9.527118
3083.8,3099.0,15.199951,0.4928968
2939.38,2880.225,59.154785,2.012492
2607.83,2027.73,580.1001,22.244553
3880.85,3862.91,17.940186,0.4622746
2603.19,2450.221,152.969,5.876213
2620.01,2561.8635,58.146484,2.2193232
2721.47,2450.221,271.24902,9.967004
4181.77,3862.91,318.8601,7.6250033
1574.07,1367.205,206.86499,13.142046
3976.83,3843.79,133.04004,3.3453789
2238.92,1997.72,241.19995,10.773049
2406.61,2460.38,53.769775,2.2342536
2219.52,1634.3,585.22,26.36696
1771.41,1870.4825,99.07251,5.592861
1439.2,1461.6226,22.422607,1.5579911
2389.18,2129.64,259.54004,10.863143
2105.87,2291.81,185.93994,8.829602
2514.59,2755.79,241.19995,9.592019
1459.74,1357.8351,101.90491,6.9810314
2502.96,2448.3167,54.64331,2.1831474
3957.91,3761.23,196.67993,4.969288
2280.42,2262.55,17.869873,0.7836221
3861.3,3221.31,639.99,16.574469
3126.66,3151.51,24.850098,0.79478097
2607.93,2927.9,319.96997,12.269117
3033.31,3166.35,133.04004,4.385969
3399.92,3196.34,203.57983,5.987783
3010.22,2880.225,129.99487,4.318451
2983.76,3570.73,586.97,19.672157
2533.98,2448.3167,85.66333,3.3805842
1637.03,1461.6226,175.40747,10.714982
2375.25,2484.3567,109.10669,4.593482
2103.8,2224.47,120.66992,5.7358074
2561.06,2561.8635,0.8034668,0.03137243
1744.87,2060.7734,315.90344,18.104698
3675.91,3440.7551,235.15479,6.3971853
3267.8,3450.81,183.01001,5.600404
3892.77,3776.43,116.34009,2.9886196
2952.16,2969.67,17.51001,0.5931254
3558.63,3570.73,12.100098,0.34002125
2306.33,1973.94,332.39014,14.41208
2624.75,2682.1733,57.42334,2.1877642
1707.87,1265.1678,442.70215,25.921303
3458.11,3151.51,306.6001,8.8661175
2201.61,2314.15,112.539795,5.111704
