real,previsto,erro_abs,erro_rel_percent
1918.16,1917.21,0.95007324,0.049530447
1255.51,1342.98,87.46997,6.9668875
3106.45,2888.8386,217.61133,7.0051455
2590.32,2702.1755,111.85547,4.3182106
2135.0,2293.8975,158.89746,7.442504
2886.84,2712.8,174.04004,6.0287385
2055.23,2258.8726,203.64258,9.908505
1647.38,1823.5914,176.21143,10.696465
2345.11,2622.79,277.67993,11.840805
3708.96,3551.3267,157.6333,4.2500677
1808.85,1764.3099,44.54004,2.46234
2681.49,2384.1948,297.29517,11.086939
2906.7,2598.1802,308.51978,10.614091
1985.55,2062.41,76.85986,3.8709607
2221.14,2248.6934,27.553467,1.2405102
3083.32,2861.28,222.04004,7.2013297
1239.89,1587.692,347.802,28.051037
2582.21,2271.3433,310.8667,12.038784
2867.39,2805.2832,62.10669,2.165966
2455.82,2457.7932,1.9731445,0.080345646
2383.73,2443.78,60.05005,2.5191634
2613.05,2712.8,99.75,3.817378
2573.64,2690.895,117.25513,4.5560036
1409.12,1552.4353,143.3153,10.170553
1871.79,2049.8137,178.02368,9.510879
1474.94,1405.984,68.95593,4.675169
1725.53,1967.915,242.38501,14.046989
1834.42,1703.3256,131.09448,7.146372
961.38,807.636,153.74402,15.992013
2509.34,2485.6746,23.665527,0.94309765
1900.94,1915.92,14.980103,0.78803664
2326.18,2198.3513,127.82861,5.495216
2536.37,2443.78,92.59009,3.6504958
2179.11,2489.1936,310.0835,14.229822
2404.29,2712.8,308.51,12.831648
3106.65,3075.93,30.71997,0.98884565
2260.89,2071.175,189.71484,8.391158
1455.94,1501.1195,45.179565,3.10312
2328.29,2443.78,115.48999,4.9602923
2252.55,2358.8132,106.26318,4.7174616
1784.38,1656.48,127.900024,7.1677575
1824.45,1572.2094,252.2406,13.82557
2991.08,3133.7688,142.68872,4.770475
3433.81,2916.5212,517.2888,15.064573
3408.22,3260.0024,148.21753,4.3488255
2098.05,1968.1863,129.86377,6.1897364
1373.59,1572.2094,198.61938,14.459874
2690.85,2457.7932,233.05688,8.661088
2115.41,2094.671,20.739014,0.98037803
1852.4,1916.192,63.791992,3.4437482
1820.4,2198.3513,377.9513,20.76199
