amostra,valor_real,valor_predito,valor_predito_corrigido
amostra_0002_1918.16.csv,1918.16,2105.9387,2102.6785
amostra_0015_1255.51.csv,1255.51,1266.9874,1320.2158
amostra_0019_3106.45.csv,3106.45,3116.1042,3027.5798
amostra_0020_2590.32.csv,2590.32,2825.0396,2763.0154
amostra_0021_2135.00.csv,2135.0,1917.6027,1928.155
amostra_0023_2886.84.csv,2886.84,2756.5537,2700.5376
amostra_0043_2055.23.csv,2055.23,2157.303,2150.162
amostra_0045_1647.38.csv,1647.38,1540.9307,1577.143
amostra_0049_2345.11.csv,2345.11,2448.3677,2418.3157
amostra_0050_3708.96.csv,3708.96,3663.9907,3521.3389
amostra_0051_1808.85.csv,1808.85,2071.6958,2070.9956
amostra_0054_2681.49.csv,2681.49,2688.068,2637.9731
amostra_0056_2906.70.csv,2906.7,2876.404,2809.817
amostra_0081_1985.55.csv,1985.55,1968.967,1975.8174
amostra_0082_2221.14.csv,2221.14,2328.5176,2308.0889
amostra_0083_3083.32.csv,3083.32,3218.833,3120.582
amostra_0084_1239.89.csv,1239.89,1215.6232,1271.8876
amostra_0093_2582.21.csv,2582.21,2842.1611,2778.6213
amostra_0094_2867.39.csv,2867.39,2705.1895,2653.6223
amostra_0096_2455.82.csv,2455.82,2328.5176,2308.0889
amostra_0097_2383.73.csv,2383.73,2533.9749,2496.8865
amostra_0108_2613.05.csv,2613.05,2688.068,2637.9731
amostra_0115_2573.64.csv,2573.64,2431.2463,2402.5852
amostra_0117_1409.12.csv,1409.12,1352.5947,1400.6544
amostra_0124_1871.79.csv,1871.79,2071.6958,2070.9956
amostra_0127_1474.94.csv,1474.94,1421.0806,1464.908
amostra_0136_1725.53.csv,1725.53,1558.0521,1593.1549
amostra_0137_1834.42.csv,1834.42,2054.5742,2055.146
amostra_0144_961.38.csv,961.38,958.80133,1029.516
amostra_0155_2509.34.csv,2509.34,2499.732,2465.4744
amostra_0156_1900.94.csv,1900.94,1729.2667,1752.9766
amostra_0158_2326.18.csv,2326.18,2225.7888,2213.3977
amostra_0167_2536.37.csv,2536.37,2790.7966,2731.787
amostra_0177_2179.11.csv,2179.11,1866.2383,1880.4441
amostra_0178_2404.29.csv,2404.29,2260.0317,2244.9832
amostra_0179_3106.65.csv,3106.65,3287.3188,3182.4749
amostra_0187_2260.89.csv,2260.89,2123.06,2118.5117
amostra_0189_1455.94.csv,1455.94,1386.8376,1432.792
amostra_0193_2328.29.csv,2328.29,3013.3755,2934.3828
amostra_0198_2252.55.csv,2252.55,2260.0317,2244.9832
amostra_0204_1784.38.csv,1784.38,1831.9954,1848.6096
amostra_0207_1824.45.csv,1824.45,1934.7241,1944.048
amostra_0208_2991.08.csv,2991.08,2893.5254,2825.4065
amostra_0215_3433.81.csv,3433.81,3646.8694,3505.993
amostra_0217_3408.22.csv,3408.22,3235.9546,3136.0635
amostra_0219_2098.05.csv,2098.05,2174.4246,2165.9792
