arquivo,real_kWh,previsto_kWh
amostra_0002_1918.16.csv,1918.16,2092.8142
amostra_0015_1255.51.csv,1255.51,1557.6565
amostra_0019_3106.45.csv,3106.45,3033.947
amostra_0020_2590.32.csv,2590.32,2660.0781
amostra_0021_2135.00.csv,2135.0,2115.3032
amostra_0023_2886.84.csv,2886.84,2842.912
amostra_0043_2055.23.csv,2055.23,2185.8286
amostra_0045_1647.38.csv,1647.38,1697.5493
amostra_0049_2345.11.csv,2345.11,2421.873
amostra_0050_3708.96.csv,3708.96,3671.6582
amostra_0051_1808.85.csv,1808.85,1796.7156
amostra_0054_2681.49.csv,2681.49,2720.0059
amostra_0056_2906.70.csv,2906.7,2938.503
amostra_0081_1985.55.csv,1985.55,1751.5392
amostra_0082_2221.14.csv,2221.14,2409.0732
amostra_0083_3083.32.csv,3083.32,3195.296
amostra_0084_1239.89.csv,1239.89,1425.3961
amostra_0093_2582.21.csv,2582.21,2682.1836
amostra_0094_2867.39.csv,2867.39,2996.04
amostra_0096_2455.82.csv,2455.82,2542.411
amostra_0097_2383.73.csv,2383.73,2653.7283
amostra_0108_2613.05.csv,2613.05,2797.0142
amostra_0115_2573.64.csv,2573.64,2563.4946
amostra_0117_1409.12.csv,1409.12,1496.1489
amostra_0124_1871.79.csv,1871.79,1904.8984
amostra_0127_1474.94.csv,1474.94,1578.4808
amostra_0136_1725.53.csv,1725.53,1880.4045
amostra_0137_1834.42.csv,1834.42,1917.7257
amostra_0144_961.38.csv,961.38,1068.7712
amostra_0155_2509.34.csv,2509.34,2688.6704
amostra_0156_1900.94.csv,1900.94,2072.675
amostra_0158_2326.18.csv,2326.18,2366.5398
amostra_0167_2536.37.csv,2536.37,2660.5493
amostra_0177_2179.11.csv,2179.11,2276.5796
amostra_0178_2404.29.csv,2404.29,2439.0168
amostra_0179_3106.65.csv,3106.65,3129.4297
amostra_0187_2260.89.csv,2260.89,2543.7612
amostra_0189_1455.94.csv,1455.94,1682.5067
amostra_0193_2328.29.csv,2328.29,2528.9966
amostra_0198_2252.55.csv,2252.55,2348.6953
amostra_0204_1784.38.csv,1784.38,1845.4647
amostra_0207_1824.45.csv,1824.45,1992.1626
amostra_0208_2991.08.csv,2991.08,3057.6575
amostra_0215_3433.81.csv,3433.81,3524.8643
amostra_0217_3408.22.csv,3408.22,3484.8428
amostra_0219_2098.05.csv,2098.05,2157.6086
amostra_0221_1373.59.csv,1373.59,1554.2653
amostra_0224_2690.85.csv,2690.85,2848.9177
amostra_0229_2115.41.csv,2115.41,2267.583
amostra_0234_1852.40.csv,1852.4,2164.1343
amostra_0241_1820.40.csv,1820.4,2005.2792
amostra_0242_3674.97.csv,3674.97,3887.1577
amostra_0253_2876.45.csv,2876.45,3061.5498
amostra_0257_1827.70.csv,1827.7,2089.4644
amostra_0259_1900.77.csv,1900.77,1960.5342
