timestamp,Urms_L1,Irms_L1,Frequencia_L1,Pwatt_L1,Qvar_L1,Sva_L1,CosF_L1,TensaoFundamental_L1,CorrenteFundamental_L1,THD_V_L1,THD_I_L1,UH0,UH1,UH2,UH3,UH4,UH5,UH6,UH7,UH8,UH9,UH10,UH11,UH12,UH13,UH14,UH15,UH16,UH17,UH18,UH19,UH20,UH21,UH22,UH23,UH24,UH25,UH26,UH27,UH28,UH29,UH30,UH31,UH32,UH33,UH34,UH35,UH36,UH37,UH38,UH39,UH40,UH41,UH42,UH43,UH44,UH45,UH46,UH47,UH48,UH49,UH50,IH0,IH1,IH2,IH3,IH4,IH5,IH6,IH7,IH8,IH9,IH10,IH11,IH12,IH13,IH14,IH15,IH16,IH17,IH18,IH19,IH20,IH21,IH22,IH23,IH24,IH25,IH26,IH27,IH28,IH29,IH30,IH31,IH32,IH33,IH34,IH35,IH36,IH37,IH38,IH39,IH40,IH41,IH42,IH43,IH44,IH45,IH46,IH47,IH48,IH49,IH50,EnergiaAcumulada_KWh
0,229.3357,4.7188,60.0207,2302.75,2624.52,3492.55,0.66,227.57,4.62,1.61,22.94,0.0,226.98918,0.0139,0.23003,0.02505,0.02541,0.01622,0.08089,0.00225,0.05672,0.00669,0.03688,0.00402,0.02093,0.00564,0.04001,0.00338,0.03867,0.00475,0.00412,0.00607,0.03628,0.00237,0.0369,0.00488,0.00266,0.0059,0.02552,0.00235,0.01886,0.00439,0.00504,0.00244,0.01774,0.00205,0.00874,0.00378,0.01337,0.00192,0.00984,0.00189,0.00553,0.00108,0.00859,0.00129,0.00182,0.00327,0.00588,0.0012,0.00452,0.00253,0.0,4.61558,0.02313,0.88238,0.00551,0.32457,0.00114,0.08639,0.00107,0.06775,0.0017,0.04325,0.00068,0.01723,0.00087,0.01839,0.00123,0.00734,0.00076,0.00813,0.00092,0.0071,0.00084,0.0066,0.00087,0.00604,0.00014,0.00232,0.0011,0.00653,0.00053,0.00306,0.00049,0.0016,0.00043,0.00349,0.00046,0.00041,0.00081,0.00091,0.00021,0.00068,0.00036,0.00189,0.00044,0.00114,0.00085,0.00062,0.00029,0.00137,0.00059,0.0131
60000,229.1629,4.7021,60.0207,2293.06,2617.88,3477.65,0.66,227.44,4.6,1.61,23.06,0.0,227.31612,0.01633,0.2303,0.02567,0.0258,0.01701,0.07634,0.00198,0.05804,0.00643,0.03925,0.00411,0.02,0.0046,0.03949,0.00287,0.03896,0.005,0.00329,0.0063,0.03682,0.002,0.03725,0.00496,0.00317,0.00574,0.02706,0.00293,0.01944,0.00419,0.00637,0.00361,0.0205,0.00141,0.00985,0.00279,0.014,0.00144,0.01106,0.00207,0.00738,0.00086,0.00919,0.00139,0.00156,0.00116,0.00631,0.00032,0.0044,0.00281,0.0,4.59046,0.03065,0.88045,0.00349,0.3191,0.00109,0.08888,0.00062,0.07126,0.00266,0.04265,0.00037,0.0182,0.0008,0.019,0.00086,0.00698,0.00021,0.00788,7e-05,0.00748,0.00101,0.005,0.00091,0.00584,0.00059,0.00225,9e-05,0.00732,0.00068,0.00321,0.00074,0.00157,0.00032,0.00281,0.00031,0.00024,0.00029,0.00119,0.00131,0.00052,0.00048,0.00094,0.00076,0.00062,0.00016,0.0008,0.0005,0.00141,0.00037,0.0262
120000,229.5855,4.6561,59.9926,2262.55,2606.88,3449.65,0.65,227.85,4.56,1.6,23.25,0.0,227.15271,0.01869,0.22758,0.02426,0.02341,0.01805,0.07886,0.00323,0.05759,0.00722,0.03827,0.00357,0.02022,0.00654,0.04004,0.00276,0.03888,0.00405,0.00303,0.00585,0.03723,0.00189,0.03605,0.00602,0.00451,0.00509,0.02794,0.00303,0.02001,0.00508,0.0067,0.00319,0.02127,0.00156,0.00951,0.00309,0.01296,0.00225,0.00965,0.00185,0.0063,0.00066,0.00793,0.0015,0.00093,0.00163,0.00631,0.00101,0.00503,0.00205,0.0,4.54037,0.02721,0.87738,0.00912,0.32388,0.00192,0.08753,0.00157,0.0713,0.00043,0.04144,0.00125,0.01814,0.00034,0.01894,0.00053,0.00686,0.00068,0.0081,0.00031,0.00733,0.00044,0.00558,0.00069,0.00628,0.00046,0.00182,0.00085,0.00718,0.00083,0.00331,0.00022,0.00177,0.00025,0.00254,0.00081,0.00021,0.0011,0.00102,0.00032,0.00076,0.00067,0.00134,0.00034,0.00041,0.0007,0.00019,0.00058,0.0015,0.00043,0.0391
180000,229.7759,4.6895,59.9786,2291.51,2619.75,3477.92,0.66,228.14,4.59,1.56,22.9,0.0,228.76294,0.02121,0.23199,0.02463,0.02488,0.01992,0.07915,0.00273,0.05833,0.00663,0.03788,0.00348,0.02056,0.00442,0.03935,0.00357,0.03846,0.0049,0.00202,0.00602,0.03804,0.0015,0.03628,0.00509,0.00117,0.00548,0.02605,0.00245,0.02031,0.00513,0.00481,0.00405,0.02025,0.00061,0.00943,0.00285,0.01088,0.00164,0.01144,0.0015,0.00702,0.00122,0.00794,0.0002,0.00164,0.00296,0.00588,0.00291,0.0045,0.00314,0.0,4.5814,0.02667,0.87897,0.00762,0.32377,0.00232,0.08785,0.00032,0.07246,0.00196,0.04394,0.00017,0.01614,0.00085,0.01822,0.00078,0.00723,0.00102,0.00859,0.00038,0.00783,0.0003,0.00569,0.00036,0.00608,0.00076,0.00135,0.00035,0.00744,0.00066,0.00227,0.00044,0.00232,0.00029,0.00314,0.00045,0.00073,0.00026,0.00139,0.00013,0.001,0.0007,0.00105,0.00117,0.00024,0.00015,0.00084,0.00069,0.00146,0.00032,0.0522
240000,231.3976,4.6858,59.9645,2299.1,2639.57,3499.54,0.66,229.84,4.59,1.52,22.96,0.0,228.09537,0.01251,0.2297,0.02547,0.02625,0.01714,0.08004,0.00144,0.05869,0.00732,0.03661,0.00357,0.02375,0.00418,0.0376,0.0036,0.0366,0.00429,0.00433,0.00565,0.03403,0.00161,0.03671,0.00543,0.00187,0.00506,0.0238,0.00185,0.01906,0.00494,0.00244,0.0023,0.01739,0.00025,0.00946,0.00247,0.01116,0.00296,0.0093,0.00126,0.00508,0.00076,0.00754,0.00058,0.00065,0.00039,0.00621,0.00035,0.00531,0.00077,0.0,4.58032,0.0158,0.88012,0.00975,0.32394,0.00285,0.08611,0.00174,0.06868,0.00079,0.04325,0.00161,0.01814,0.00048,0.01649,0.00131,0.00815,0.00062,0.00795,0.00186,0.00611,0.00069,0.00698,0.00038,0.00576,0.00029,0.00206,0.00059,0.00745,0.00019,0.00262,0.0003,0.00179,0.00025,0.0033,0.00047,0.00048,0.0006,0.00088,0.00058,0.00031,0.00045,0.00188,0.00026,0.00081,0.00049,0.00071,0.00037,0.00076,0.00046,0.0652
300000,230.2687,4.7223,59.9786,2316.16,2640.23,3509.33,0.66,228.68,4.62,1.53,23.1,0.0,228.4612,0.01538,0.22791,0.02482,0.02584,0.01626,0.07825,0.00284,0.05796,0.00747,0.03598,0.00395,0.02433,0.00374,0.03753,0.0026,0.03433,0.00419,0.00369,0.0062,0.03311,0.00126,0.03529,0.00525,0.00121,0.00482,0.02498,0.00314,0.02137,0.00413,0.00444,0.00345,0.01969,0.00066,0.0125,0.00299,0.00988,0.00209,0.01062,0.00145,0.00627,0.00081,0.0068,0.0021,0.00122,0.00048,0.00513,0.0003,0.00457,0.00157,0.0,4.60722,0.03548,0.88877,0.00468,0.32585,0.00208,0.0861,0.00158,0.06874,0.00059,0.0445,0.00026,0.01704,0.00043,0.01566,0.00031,0.00933,0.00051,0.00788,0.00014,0.00528,0.00049,0.00679,0.00118,0.00567,0.00085,0.00189,0.00022,0.00718,0.0004,0.00083,0.00043,0.00231,0.00033,0.00301,0.00042,0.00071,0.00085,0.00126,0.00031,0.00055,0.00029,0.00194,0.00045,0.00085,0.00072,0.00063,0.00068,0.00141,0.00027,0.0783
360000,228.9703,4.7209,59.9926,2302.38,2624.97,3488.81,0.66,227.25,4.62,1.6,22.93,0.0,226.18185,0.01903,0.233,0.02419,0.02381,0.01705,0.0762,0.00114,0.05681,0.00734,0.03681,0.00388,0.02352,0.00448,0.03505,0.00295,0.03568,0.00371,0.00452,0.00557,0.03279,0.00196,0.03582,0.00524,0.00145,0.00534,0.02412,0.002,0.02013,0.00412,0.00366,0.00331,0.01785,0.00129,0.01075,0.0022,0.01203,0.00262,0.01176,0.00126,0.00695,0.00164,0.00916,0.00068,0.0029,0.00193,0.00562,0.00081,0.00719,0.0017,0.0,4.61922,0.0371,0.88754,0.00267,0.31849,0.00317,0.08927,0.0011,0.07151,0.00251,0.04613,0.00145,0.01736,0.00065,0.01384,0.00095,0.00939,0.00055,0.00826,0.00056,0.00521,0.00058,0.00657,0.00024,0.00499,0.00053,0.00213,0.00107,0.00783,0.00031,0.00241,0.00034,0.00083,0.0002,0.00229,0.00034,0.0011,0.0004,0.00138,0.00078,0.00046,0.0004,0.00196,0.00117,0.00072,0.0007,8e-05,0.0003,0.00137,0.00053,0.0914
420000,229.1169,4.7221,59.9786,2303.23,2622.43,3491.26,0.66,227.37,4.62,1.59,22.99,0.0,226.06808,0.00862,0.22943,0.02398,0.02247,0.01423,0.0773,0.00129,0.05677,0.00673,0.03583,0.00253,0.02393,0.00459,0.03481,0.00273,0.03553,0.00312,0.0047,0.00597,0.03296,0.0009,0.03495,0.00542,0.00113,0.00497,0.02484,0.00295,0.02107,0.00361,0.00333,0.00383,0.01868,0.00158,0.00939,0.00317,0.01014,0.0022,0.01054,0.00174,0.00593,0.00057,0.0071,0.00123,0.00184,0.00148,0.00423,0.0009,0.00513,0.00167,0.0,4.62879,0.01738,0.88899,0.00523,0.31204,0.00387,0.08798,0.00117,0.07468,0.00152,0.0476,0.00162,0.01357,0.00111,0.01301,0.00024,0.00989,0.00045,0.00743,0.00096,0.00481,0.0008,0.00712,0.00092,0.00458,0.00023,0.00165,0.00122,0.00725,0.00051,0.00198,8e-05,0.00144,0.00053,0.00338,0.00111,0.00113,0.00027,0.0013,0.00058,0.00023,0.00031,0.0015,0.00033,0.0004,0.00032,0.00084,0.00105,0.00147,0.00013,0.1045
480000,227.7231,4.7173,60.0207,2291.02,2603.21,3466.54,0.66,225.96,4.62,1.61,23.01,0.0,226.42397,0.01658,0.23053,0.02314,0.02514,0.01554,0.07882,0.00298,0.05713,0.00753,0.0357,0.00385,0.02381,0.00453,0.03638,0.00269,0.03553,0.00352,0.00539,0.00574,0.03293,0.00221,0.03475,0.00507,0.00085,0.00469,0.02615,0.00205,0.02158,0.00392,0.00521,0.00466,0.02013,0.00127,0.00976,0.00299,0.01082,0.00292,0.01236,0.00133,0.00781,0.00193,0.00966,0.00084,0.00292,0.0004,0.00375,0.00031,0.00576,0.00052,0.0,4.60936,0.03237,0.88463,0.00396,0.31538,0.0039,0.09003,0.00091,0.07144,0.00117,0.04579,0.00151,0.01553,0.00021,0.01343,0.00036,0.00967,0.00073,0.00749,0.0004,0.00482,0.00053,0.00592,0.0009,0.00588,0.00065,0.00232,0.00018,0.00794,0.00076,0.00217,0.0007,0.00168,0.0009,0.00296,0.00053,0.00141,0.00017,0.00143,0.00079,0.00062,0.00026,0.0013,0.00057,0.0008,0.00042,0.0008,0.00042,0.00132,0.00034,0.1176
540000,230.9665,4.7192,59.9786,2315.21,2647.46,3517.7,0.66,229.28,4.62,1.58,22.87,0.0,228.19048,0.0213,0.2307,0.02192,0.02416,0.01557,0.07772,0.00296,0.05694,0.00677,0.03574,0.00349,0.02556,0.00374,0.03518,0.00339,0.03543,0.0045,0.00473,0.0052,0.03236,0.00141,0.03578,0.00519,0.00056,0.00538,0.02565,0.00251,0.02231,0.00354,0.00492,0.00353,0.01984,0.00101,0.01085,0.00327,0.01007,0.00206,0.01062,0.00137,0.00827,0.00154,0.01061,0.00266,0.00429,0.00135,0.00367,0.00204,0.00531,0.00078,0.0,4.60759,0.02693,0.88364,0.00312,0.3194,0.00033,0.08914,0.00064,0.07145,0.00142,0.04437,0.00012,0.01624,0.00086,0.01479,0.00058,0.0095,0.00037,0.00785,0.00114,0.00553,0.00064,0.00625,0.00051,0.00521,0.00051,0.0022,0.00045,0.00737,0.0003,0.00204,0.00081,0.00177,0.00068,0.00261,0.00064,0.0005,0.00032,0.00017,0.00019,0.00068,0.00069,0.00189,0.00012,0.00076,0.0008,0.00095,0.00086,0.00123,0.0008,0.1308
