timestamp,Urms_L1,Irms_L1,Frequencia_L1,Pwatt_L1,Qvar_L1,Sva_L1,CosF_L1,TensaoFundamental_L1,CorrenteFundamental_L1,THD_V_L1,THD_I_L1,UH0,UH1,UH2,UH3,UH4,UH5,UH6,UH7,UH8,UH9,UH10,UH11,UH12,UH13,UH14,UH15,UH16,UH17,UH18,UH19,UH20,UH21,UH22,UH23,UH24,UH25,UH26,UH27,UH28,UH29,UH30,UH31,UH32,UH33,UH34,UH35,UH36,UH37,UH38,UH39,UH40,UH41,UH42,UH43,UH44,UH45,UH46,UH47,UH48,UH49,UH50,IH0,IH1,IH2,IH3,IH4,IH5,IH6,IH7,IH8,IH9,IH10,IH11,IH12,IH13,IH14,IH15,IH16,IH17,IH18,IH19,IH20,IH21,IH22,IH23,IH24,IH25,IH26,IH27,IH28,IH29,IH30,IH31,IH32,IH33,IH34,IH35,IH36,IH37,IH38,IH39,IH40,IH41,IH42,IH43,IH44,IH45,IH46,IH47,IH48,IH49,IH50,EnergiaAcumulada_KWh
0,222.0755,4.2099,59.9645,2156.48,2110.32,3017.22,0.71,220.37,4.16,1.61,17.25,0.0,219.90642,0.02367,0.22773,0.02455,0.02671,0.01553,0.08157,0.00158,0.0526,0.00743,0.03368,0.0033,0.03253,0.00488,0.02674,0.00379,0.03055,0.00283,0.01255,0.00464,0.02062,0.00187,0.0281,0.00402,0.00589,0.00373,0.02664,0.00138,0.01973,0.004,0.01004,0.00315,0.02714,0.00027,0.01327,0.00305,0.00848,0.00266,0.01577,0.0009,0.00732,0.001,0.0133,0.00092,0.01093,0.00222,0.00578,0.00195,0.01201,0.00053,0.0,4.15384,0.03118,0.60991,0.00846,0.18124,0.00304,0.0459,0.00173,0.03077,0.00051,0.02113,0.00133,0.02215,0.00082,0.00834,0.00011,0.00084,0.00054,0.00911,0.00043,0.00244,0.00026,0.00359,0.00105,0.00562,0.00016,0.00348,0.00016,0.00695,0.00053,0.00145,0.00037,0.00266,0.00091,0.002,0.00067,0.00188,0.0001,0.00015,0.00062,0.00038,0.00019,0.00245,0.00074,0.00096,0.00065,0.00075,0.00021,0.00111,0.00044,0.0146
60000,221.7247,4.3461,59.9786,2244.34,2155.64,3109.84,0.72,220.03,4.3,1.61,16.83,0.0,219.52246,0.01679,0.22743,0.02616,0.02694,0.01648,0.08116,0.00201,0.05259,0.00736,0.0336,0.00336,0.03165,0.00447,0.02748,0.00312,0.03011,0.00368,0.01067,0.00484,0.02218,0.00036,0.02724,0.00406,0.00427,0.00337,0.02415,0.00131,0.01651,0.0026,0.01026,0.00165,0.02365,0.00087,0.01001,0.00147,0.00857,0.00238,0.0123,0.0011,0.00791,0.00208,0.01408,0.00285,0.0095,0.00236,0.00757,0.00089,0.00943,0.00175,0.0,4.30221,0.06917,0.61394,0.00253,0.1756,0.00232,0.04913,0.00222,0.03516,0.00159,0.0213,0.00215,0.02061,0.00034,0.01013,0.00104,0.00079,0.0014,0.0084,0.00055,0.00282,0.00053,0.00416,0.00057,0.00545,0.00028,0.00406,0.00093,0.00708,0.0004,0.00194,0.00043,0.00302,0.00084,0.00235,0.00046,0.00137,0.00046,0.00043,0.00024,0.00049,0.00053,0.00202,0.00039,0.00019,0.001,0.00076,0.00037,0.00043,0.00103,0.0271
120000,221.7997,4.1776,60.0067,2133.62,2098.76,2990.6,0.71,220.08,4.13,1.62,17.63,0.0,219.58345,0.01949,0.22821,0.02508,0.02669,0.01631,0.08197,0.0011,0.05376,0.00694,0.03247,0.00294,0.03176,0.00416,0.02819,0.0035,0.02905,0.00242,0.00938,0.00483,0.02271,0.00167,0.02761,0.00341,0.00526,0.00328,0.02666,0.00123,0.01955,0.00272,0.01347,0.00278,0.02909,0.00125,0.01505,0.00288,0.00793,0.00187,0.01796,0.00063,0.00928,0.00118,0.00994,0.00189,0.01301,0.00065,0.00782,0.00061,0.0087,0.00126,0.0,4.11475,0.02426,0.61607,0.00042,0.19508,0.00287,0.03852,0.00047,0.04275,0.00016,0.02586,0.00171,0.0161,0.0004,0.01271,0.00051,0.00274,0.00062,0.0089,0.00085,0.00266,0.00053,0.00389,0.00074,0.00565,0.00054,0.00332,0.0002,0.00684,0.00044,0.00095,0.00058,0.00261,0.00036,0.0009,0.00025,0.00097,0.00077,0.00092,0.00072,0.00095,0.00075,0.00244,0.0003,0.00047,0.0004,0.0008,0.00025,0.00112,0.00062,0.0396
180000,220.0779,4.2026,59.9504,2128.89,2095.48,2984.88,0.71,218.37,4.15,1.62,18.0,0.0,217.95261,0.01842,0.22674,0.02461,0.02679,0.01554,0.07916,0.00143,0.05146,0.00698,0.03231,0.00331,0.03022,0.005,0.02794,0.00289,0.03,0.00313,0.01,0.00473,0.02247,0.00137,0.02792,0.0036,0.00497,0.004,0.02568,0.00184,0.01971,0.00275,0.01125,0.00285,0.02635,0.00042,0.01388,0.0012,0.00735,0.00166,0.01635,0.00128,0.00918,0.00199,0.0095,0.00094,0.01255,0.00095,0.00833,0.00167,0.00709,0.00178,0.0,4.13915,0.02565,0.62583,0.00596,0.20137,0.00648,0.03351,0.00321,0.04213,0.00073,0.02582,0.00063,0.01834,0.00056,0.01158,0.00035,0.00307,0.00083,0.00745,0.00052,0.00181,0.00058,0.00473,0.00094,0.00522,0.0005,0.00376,0.00067,0.00497,0.00049,0.00177,0.00037,0.00293,0.0004,0.00095,0.00063,0.00192,0.00045,0.00093,8e-05,0.00125,0.00062,0.00205,0.00101,0.00101,0.00097,0.00061,0.0007,0.00134,0.00039,0.0517
240000,220.2629,4.3624,59.9786,2241.47,2147.19,3101.34,0.72,218.57,4.31,1.62,17.03,0.0,218.01512,0.02003,0.22656,0.02507,0.02659,0.01638,0.0796,0.00189,0.05121,0.00694,0.03236,0.00319,0.0308,0.00453,0.02772,0.00289,0.0296,0.00399,0.01077,0.00499,0.02281,0.001,0.02821,0.00352,0.00387,0.00329,0.02503,0.00043,0.01931,0.0025,0.01142,0.00261,0.02542,0.00092,0.01202,0.00171,0.00719,0.00176,0.01622,0.00094,0.00929,0.00098,0.01015,0.00204,0.01272,0.00096,0.00773,0.00108,0.00656,0.00113,0.0,4.34723,0.02815,0.6262,0.00316,0.20345,0.0015,0.03187,0.00287,0.04201,0.00136,0.02423,0.00105,0.01959,0.00044,0.01226,0.00059,0.00267,0.00025,0.00712,0.00047,0.00271,0.00083,0.00465,0.00012,0.00536,0.00053,0.00409,0.00054,0.00571,0.00051,0.00102,0.00036,0.00306,0.00034,0.00174,0.00107,0.00156,0.00099,0.00101,0.00115,0.0008,0.00035,0.00147,0.0008,0.00085,0.00063,0.00074,0.00038,0.00078,0.0005,0.0639
300000,219.7034,4.4154,59.9645,2257.29,2168.98,3130.8,0.72,218.02,4.36,1.61,17.03,0.0,217.5481,0.02416,0.22627,0.0246,0.02634,0.01663,0.07807,0.00161,0.05091,0.00686,0.03334,0.00283,0.02953,0.00474,0.02721,0.00337,0.03042,0.00352,0.01096,0.00544,0.02318,0.00109,0.02748,0.00315,0.00473,0.00327,0.02348,0.00082,0.01825,0.00263,0.00914,0.00331,0.02647,0.00078,0.01518,0.00105,0.00862,0.0015,0.01579,0.00104,0.00809,0.00047,0.01182,0.00088,0.01232,0.00066,0.00622,0.00111,0.00767,0.00072,0.0,4.3316,0.02215,0.64171,0.00594,0.20562,0.00252,0.02941,0.00191,0.0415,0.00206,0.02366,0.00143,0.02033,0.00051,0.0125,0.00068,0.00348,0.00062,0.00499,0.00075,0.00228,0.00042,0.00484,0.00067,0.0043,0.00092,0.00439,0.00025,0.00635,0.00101,0.00218,0.00075,0.00279,0.00042,0.00075,0.00057,0.00112,0.0006,0.00108,0.00089,0.00133,0.0003,0.00188,0.00022,0.00045,0.00027,0.00045,0.00061,0.00123,0.00014,0.0765
360000,221.8479,3.9991,59.9645,2007.27,2041.47,2863.34,0.7,220.16,3.94,1.61,19.07,0.0,219.69681,0.01511,0.2266,0.02627,0.0263,0.01628,0.07976,0.00115,0.05237,0.00676,0.03274,0.00365,0.02956,0.00461,0.02844,0.00328,0.02993,0.003,0.01037,0.00471,0.02325,0.0014,0.02743,0.00356,0.0045,0.00396,0.02522,0.0017,0.01748,0.00362,0.01226,0.00303,0.02802,0.00055,0.01573,0.00131,0.00679,0.00153,0.0151,0.00097,0.00664,0.00125,0.01315,0.00185,0.01373,0.00093,0.00738,0.00268,0.01012,0.00121,0.0,3.9213,0.00218,0.62553,0.00161,0.21305,0.00056,0.02872,0.00321,0.04029,0.00067,0.03241,0.00095,0.0268,0.00109,0.01994,0.00128,0.00125,0.00058,0.00677,0.00046,0.00464,0.00094,0.00331,0.00112,0.00701,0.00062,0.00486,0.00091,0.00761,0.00065,0.00105,0.00051,0.00198,0.00064,0.00069,0.00034,0.00122,0.00085,0.00053,0.00053,0.00089,0.00025,0.00118,0.0003,0.0003,0.00027,0.00034,0.00014,0.00069,0.00091,0.0888
420000,221.1847,6.5038,59.9364,3167.69,3398.12,4642.8,0.68,219.44,6.35,1.63,24.42,0.0,218.97229,0.01683,0.23164,0.02615,0.02548,0.01636,0.07781,0.00156,0.05483,0.00706,0.03323,0.00352,0.02824,0.00465,0.02929,0.00287,0.03069,0.00364,0.00958,0.00504,0.02379,0.00128,0.02796,0.00351,0.0046,0.00354,0.02297,0.0009,0.01602,0.00307,0.01053,0.00284,0.02743,0.00047,0.01422,0.00246,0.00766,0.0013,0.01582,0.00098,0.00811,0.00185,0.01154,0.00137,0.01285,0.00054,0.00695,0.00063,0.00783,0.00076,0.0,6.34735,0.00878,1.31799,0.01214,0.39639,0.00062,0.11039,0.00305,0.09601,0.00075,0.03164,0.00167,0.02775,0.00094,0.01827,0.0006,0.00705,0.0005,0.00452,0.00037,0.00059,0.0009,0.00567,0.00041,0.00494,0.00053,0.00262,0.00074,0.00502,0.00074,0.00146,0.00081,0.00242,0.00047,0.00065,0.00048,0.00054,0.00037,0.00075,0.00054,0.00031,0.00092,0.00107,0.00047,0.00085,0.00066,0.00032,0.00057,0.00123,0.00024,0.1059
480000,221.3095,6.4257,59.9223,3140.33,3351.09,4589.44,0.68,219.58,6.28,1.63,24.24,0.0,219.05214,0.01653,0.23171,0.02604,0.02641,0.01692,0.07729,0.00224,0.0553,0.00699,0.03303,0.00353,0.02784,0.00472,0.02965,0.00303,0.02986,0.00373,0.00892,0.00466,0.02351,0.00094,0.02659,0.00373,0.00301,0.00351,0.02284,0.00104,0.01471,0.00296,0.01017,0.00227,0.02435,0.00113,0.01203,0.00178,0.00747,0.00192,0.01462,0.00115,0.00837,0.00085,0.01053,0.00175,0.0129,0.00033,0.00778,0.00222,0.00858,0.00115,0.0,6.28971,0.02617,1.30512,0.00991,0.39266,0.00551,0.10957,0.00215,0.09557,0.0016,0.03867,0.00131,0.02621,0.00124,0.02228,0.00068,0.002,0.00038,0.00736,0.0004,0.00469,0.00037,0.00614,0.00023,0.00524,0.00059,0.00524,0.00084,0.00718,0.00024,0.00036,0.00023,0.00481,0.00068,0.00166,0.00038,0.00141,0.00058,0.0004,0.00031,0.00097,9e-05,0.00225,0.00015,0.00047,0.00095,0.0002,0.00043,0.00153,0.00045,0.1236
540000,221.6068,5.6655,59.9504,2840.67,2894.13,4052.12,0.7,219.89,5.56,1.62,22.02,0.0,219.39465,0.01762,0.22992,0.02532,0.02618,0.01635,0.078,0.00263,0.05488,0.00687,0.03312,0.00307,0.02768,0.00435,0.03038,0.00307,0.03013,0.00329,0.00819,0.005,0.02303,0.00186,0.02725,0.00346,0.0037,0.0036,0.02242,0.00111,0.01413,0.00278,0.01143,0.0028,0.02632,0.00128,0.01291,0.00309,0.00813,0.00226,0.01529,0.00036,0.00836,0.00195,0.01192,0.00169,0.01404,0.00091,0.00701,0.00253,0.00742,0.00186,0.0,5.56392,0.02137,1.03866,0.00714,0.34965,0.00445,0.07279,0.00213,0.07716,0.00211,0.04663,0.00102,0.02131,0.00047,0.02094,0.00015,0.00438,0.00088,0.00774,0.00018,0.00579,3e-05,0.00448,0.00097,0.00678,0.001,0.00432,0.0002,0.00789,0.00053,0.00074,0.0004,0.0043,0.00012,0.00143,0.00035,0.0017,6e-05,0.00058,0.0004,0.00066,0.00025,0.00174,0.00053,0.00041,0.00023,0.0012,0.00052,0.00201,0.00057,0.1399
