timestamp,Urms_L1,Irms_L1,Frequencia_L1,Pwatt_L1,Qvar_L1,Sva_L1,CosF_L1,EnergiaAcumulada_KWh
0,227.846,3.516,60.0067,1754.56,1899.21,2585.28,0.68,0.0101
60000,227.4755,3.5241,60.0207,1760.55,1898.8,2587.4,0.68,0.0201
120000,227.9921,3.5142,60.0207,1753.86,1901.22,2585.63,0.68,0.0301
180000,227.6729,3.5256,59.9926,1765.26,1898.27,2590.47,0.68,0.0401
240000,227.5122,3.5282,60.0067,1762.63,1900.51,2590.52,0.68,0.0501
300000,227.5916,3.5131,59.9786,1751.76,1893.36,2580.18,0.68,0.0601
360000,227.2482,3.5223,60.0067,1753.29,1898.69,2582.99,0.68,0.0701
420000,227.5148,3.533,60.0067,1757.91,1907.74,2594.3,0.68,0.0801
480000,227.8009,3.5032,60.0067,1732.98,1905.32,2575.36,0.67,0.09
540000,227.5811,3.5044,60.0348,1736.42,1902.48,2573.75,0.67,0.0999
600000,227.8513,3.5042,59.9786,1740.34,1900.83,2576.95,0.68,0.1098
660000,226.8993,3.464,60.0207,1717.71,1867.71,2537.74,0.68,0.1196
720000,228.1448,3.4973,59.9786,1737.97,1902.17,2575.08,0.67,0.1295
780000,228.4357,3.4809,59.9786,1730.95,1895.84,2566.12,0.67,0.1393
840000,228.1717,3.4934,60.0207,1735.96,1900.66,2572.54,0.67,0.1492
900000,228.26,3.4807,59.9645,1729.67,1893.05,2564.08,0.67,0.1591
960000,225.4747,3.5114,59.9504,1736.29,1877.5,2557.49,0.68,0.1689
1020000,226.5736,3.5245,60.0067,1749.11,1894.59,2577.31,0.68,0.1788
1080000,226.288,3.5284,59.9786,1749.17,1891.99,2576.83,0.68,0.1887
1140000,225.9161,3.5305,60.0067,1742.56,1894.26,2574.0,0.68,0.1986
1200000,226.0607,3.5227,60.0067,1742.64,1890.85,2569.96,0.68,0.2085
1260000,225.7967,3.5381,60.0207,1747.19,1898.26,2578.26,0.68,0.2184
1320000,227.5651,3.4816,60.0067,1724.53,1887.41,2556.15,0.67,0.2283
1380000,229.7869,3.4208,59.9926,1690.39,1891.68,2536.66,0.67,0.2381
1440000,229.4987,3.4816,60.0207,1729.43,1911.64,2578.7,0.67,0.2478
1500000,229.8165,3.395,59.9926,1670.62,1883.64,2518.09,0.66,0.2574
1560000,229.9047,3.4287,59.9926,1706.56,1889.53,2544.33,0.67,0.2671
1620000,230.126,3.4915,59.9645,1739.95,1923.45,2593.08,0.67,0.2768
1680000,228.4911,3.5152,59.9926,1747.05,1917.68,2592.07,0.67,0.2868
1740000,228.2353,3.5219,59.9645,1752.17,1915.77,2594.17,0.67,0.2967
1800000,228.2341,3.5022,60.0067,1740.42,1906.91,2579.55,0.67,0.3066
1860000,226.5346,3.5024,60.0207,1734.57,1885.18,2560.5,0.68,0.3165
