TIME,VRMS(V) L1 AVG,VRMS(V) L2 AVG,VRMS(V) L3 AVG,VTHD L1 AVG,VTHD L2 AVG,VTHD L3 AVG,IRMS(A) L1 AVG,IRMS(A) L2 AVG,IRMS(A) L3 AVG,ITHD L1 AVG,ITHD L2 AVG,ITHD L3 AVG,P(kW) L1 AVG,P(kW) L2 AVG,P(kW) L3 AVG,P(kW) ALL AVG,S(kVA) L1 AVG,S(kVA) L2 AVG,S(kVA) L3 AVG,S(kVA) ALL AVG,Q(kvar) L1 AVG,Q(kvar) L2 AVG,Q(kvar) L3 AVG,Q(kvar) ALL AVG,TPF L1 AVG,TPF L2 AVG,TPF L3 AVG,TPF ALL AVG,Energy(kWh) L1,Energy(kWh) L2,Energy(kWh) L3,Energy(kWh) ALL,FREQ AVG
2025-04-18 17:49:05,221.307,220.788,220.444,2.17,2.11,1.95,8.655,4.008,8.137,17.75,28.0,19.89,1.509,0.803,-1.576,0.737,1.915,0.885,1.794,4.594,-1.179,0.37,0.856,0.048,0.79,0.91,-0.88,0.16,35.468,20.119,-36.64,18.948,59.96
2025-04-18 17:50:05,221.447,220.942,220.521,2.14,2.09,1.93,8.654,4.03,8.133,17.75,27.8,19.63,1.503,0.807,-1.576,0.734,1.916,0.89,1.793,4.6,-1.189,0.375,0.855,0.042,0.78,0.91,-0.88,0.16,35.491,20.132,-36.664,18.959,59.99
2025-04-18 17:51:05,221.229,220.785,220.312,2.15,2.09,1.93,8.645,4.033,8.114,17.89,27.78,19.65,1.507,0.805,-1.573,0.739,1.913,0.89,1.788,4.591,-1.178,0.381,0.849,0.053,0.79,0.9,-0.88,0.16,35.515,20.145,-36.689,18.971,59.96
2025-04-18 17:52:05,221.253,220.803,220.336,2.13,2.07,1.91,8.655,4.039,8.113,17.79,27.83,20.07,1.511,0.809,-1.575,0.745,1.915,0.892,1.788,4.594,-1.176,0.374,0.845,0.043,0.79,0.91,-0.88,0.16,35.539,20.157,-36.714,18.982,59.99
2025-04-18 17:53:05,221.325,220.902,220.422,2.17,2.12,1.93,8.64,4.015,8.106,17.89,27.88,19.65,1.505,0.808,-1.565,0.747,1.912,0.887,1.787,4.586,-1.18,0.366,0.861,0.047,0.79,0.91,-0.88,0.16,35.563,20.17,-36.738,18.994,59.99
2025-04-18 17:54:05,221.478,221.123,220.575,2.18,2.15,1.95,8.657,3.996,8.137,17.65,28.14,19.66,1.508,0.809,-1.572,0.744,1.917,0.884,1.795,4.596,-1.184,0.355,0.865,0.036,0.79,0.92,-0.88,0.16,35.586,20.183,-36.763,19.006,59.99
2025-04-18 17:55:05,221.486,221.115,220.543,2.12,2.1,1.89,8.653,4.011,8.115,17.58,28.0,19.33,1.512,0.808,-1.571,0.748,1.917,0.887,1.79,4.593,-1.178,0.366,0.856,0.044,0.79,0.91,-0.88,0.16,35.61,20.195,-36.788,19.018,60.01
2025-04-18 17:56:05,221.574,221.105,220.576,2.15,2.11,1.9,8.652,4.03,8.144,17.72,27.84,19.75,1.51,0.809,-1.579,0.741,1.917,0.891,1.796,4.604,-1.181,0.371,0.856,0.047,0.79,0.91,-0.88,0.16,35.634,20.208,-36.813,19.029,60.03
2025-04-18 17:57:05,221.41,220.904,220.344,2.15,2.08,1.89,8.664,4.019,8.14,17.86,28.01,19.97,1.509,0.809,-1.579,0.739,1.918,0.888,1.794,4.6,-1.185,0.365,0.851,0.031,0.79,0.91,-0.88,0.16,35.658,20.221,-36.838,19.041,59.99
2025-04-18 17:58:05,221.417,220.973,220.328,2.13,2.08,1.87,8.646,4.037,8.1,17.98,27.76,19.69,1.503,0.81,-1.567,0.747,1.914,0.892,1.785,4.591,-1.185,0.373,0.854,0.042,0.79,0.91,-0.88,0.16,35.681,20.233,-36.862,19.052,59.99
